skill_id,skill_name,category,subcategory
125,Conflict resolution,soft,interpersonal
126,Team collaboration,soft,teamwork
127,Emotional intelligence,soft,interpersonal
128,Critical thinking,soft,cognitive
129,Problem solving,soft,cognitive
130,Decision making,soft,cognitive
131,Time management,soft,productivity
132,Adaptability,soft,cognitive
133,Creativity,soft,cognitive
134,Innovation thinking,soft,cognitive
135,Analytical thinking,soft,cognitive
136,Resilience,soft,personal
137,Stress management,soft,personal
138,Self motivation,soft,personal
139,Active listening,soft,communication
140,Interpersonal communication,soft,communication

141,UX design,design,ux
142,UI design,design,ui
143,Interaction design,design,ux
144,User research,design,ux
145,Usability testing,design,ux
146,Wireframing,design,ux
147,Prototyping,design,ux
148,Design systems,design,ui
149,Graphic design,design,visual
150,Motion design,design,visual

151,Product strategy,business,strategy
152,Business strategy,business,strategy
153,Market research,business,analysis
154,Competitive analysis,business,analysis
155,Business development,business,growth
156,Customer success,business,customer
157,Sales strategy,business,sales
158,Account management,business,sales
159,Partnership management,business,growth
160,Revenue management,business,finance

161,English proficiency,language,communication
162,Spanish proficiency,language,communication
163,French proficiency,language,communication
164,German proficiency,language,communication
165,Technical writing,language,writing
166,Business writing,language,writing
167,Presentation writing,language,writing
168,Editing skills,language,writing
169,Translation skills,language,translation
170,Localization skills,language,translation

171,Blockchain fundamentals,technology,blockchain
172,Smart contracts,technology,blockchain
173,Internet of things,technology,iot
174,Embedded systems,technology,iot
175,Robotics engineering,technology,robotics
176,Edge computing,technology,cloud
177,Augmented reality,technology,ar
178,Virtual reality,technology,vr
179,Digital twins,technology,simulation
180,Automation systems,technology,automation

181,Talent acquisition,hr,recruitment
182,Employee engagement,hr,management
183,Performance appraisal,hr,management
184,Training development,hr,learning
185,Workforce planning,hr,strategy
186,Compensation benefits,hr,management
187,HR analytics,hr,analytics
188,Employee relations,hr,management
189,Diversity inclusion,hr,strategy
190,Organizational culture,hr,strategy

191,Customer service,service,customer
192,Customer support,service,customer
193,Service design,service,design
194,Client relationship management,service,customer
195,Complaint handling,service,customer
196,Technical support,service,technical
197,Help desk management,service,technical
198,Service operations,service,operations
199,Customer satisfaction analysis,service,analytics
200,Service quality management,service,quality
